label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
62,36.082160099999996,140.0827452,34.325106662624805,-145.75171888701135,-3.0413076962747025,0,0,0.9982781014316727,0.03625779451275012,0,0,0,0,1,-1,573.0287200107379,-93.95365022960449
63,36.082152199999996,140.08274459999998,33.82766580913486,-145.66507671380754,-2.9655875260991444,0,0,0.9986491916325589,-0.0103207371070965,0,0,0,0,1,-1,572.9747413241583,-94.83307420686575
64,36.082143099999996,140.08274699999998,33.04753713737215,-145.9220496698479,-2.970399257263525,0,0,0.9988151288077822,0.02990933160213589,0,0,0,0,1,-1,573.190656062805,-95.84608157305806
65,36.082138,140.08274699999998,32.7143473652467,-145.8655479404969,-2.9209891580294682,0,0,0.9989128429424766,-0.004224808481323437,0,0,0,0,1,-1,573.190656062805,-96.41381097561953
66,36.0821341,140.08274609999998,32.33815615003504,-145.8570448125923,-2.906505802737636,0,0,0.9989883092539503,0.004552272571309978,0,0,0,0,1,-1,573.1096880354929,-96.84795699004094
67,36.0820162,140.0828086,30.12952797410175,-145.9137050227955,-2.764798682366456,0,0,0.9989040349692472,-0.0013892646016507432,0,0,0,0,1,-1,578.7324676897732,-109.9725249544942
68,36.0820043,140.0827785,26.921700999666648,-146.13959404045994,-2.5683763817293053,0,0,0.9982323003814668,0.02605184099264195,0,0,0,0,1,-1,576.0245370085008,-111.29722689459531
69,36.0820255,140.0827452,24.991979201354045,-144.57797504090738,-2.4086261816002503,0,0,0.8465691979419084,0.5300789579996765,0,0,0,0,1,-1,573.0287200107379,-108.93725368988306
70,36.0820386,140.0826949,24.165673984294806,-140.59051467174092,-2.2677385388755154,0,0,0.7860223099584929,0.6171629641817629,0,0,0,0,1,-1,568.5035069460695,-107.47896836085091
71,36.082053099999996,140.0826461,23.565826453653987,-136.49987054491757,-2.1381924926089764,0,0,0.7241500623895876,0.6883659738681748,0,0,0,0,1,-1,564.1132405927357,-105.86483574446886
72,36.0820636,140.08260099999998,22.96595353616564,-132.39874274795616,-2.0077049095086035,0,0,0.7125741195307506,0.7006448552362796,0,0,0,0,1,-1,560.0558427930042,-104.69598109092668
73,36.0820691,140.0825566,22.109269105391135,-128.470899964607,-1.870991548872134,0,0,0.7031338865891253,0.7102614000420568,0,0,0,0,1,-1,556.0614201293201,-104.08372389152753
74,36.0820801,140.0825112,22.10709253592224,-124.39675652741839,-1.7877107356022226,0,0,0.7702137353956253,0.6369068344905853,0,0,0,0,1,-1,551.977032988856,-102.85920949272924
75,36.0820838,140.08246409999998,21.64438224988166,-120.37903960051628,-1.6889634258018573,0,0,0.7699505141568198,0.6368692116952258,0,0,0,0,1,-1,547.7397062406785,-102.44732737672666
76,36.0820899,140.0824201,21.708564150357276,-116.35914679921413,-1.60993988348073,0,0,0.7364067061522892,0.6753579445515452,0,0,0,0,1,-1,543.7812693671949,-101.76827848286199
77,36.0820898,140.08237499999998,20.9966999881709,-112.29444799365444,-1.5073657235146094,0,0,0.686009533573778,0.7264409426967579,0,0,0,0,1,-1,539.7238715674636,-101.7794104320714
78,36.0820917,140.08232809999998,20.343295103894107,-108.25832859124185,-1.4079786814658093,0,0,0.7827328928861622,0.6212072752497237,0,0,0,0,1,-1,535.5045377156648,-101.56790339946542
79,36.082097999999995,140.0822849,20.214921268935623,-104.12484835581853,-1.3253105255131548,0,0,0.7487291173989237,0.6614216481720855,0,0,0,0,1,-1,531.6180724200256,-100.86659060797288
80,36.0821012,140.0822401,19.48682853114807,-100.12616987888323,-1.234428689398602,0,0,0.8020505030108196,0.5961991818595611,0,0,0,0,1,-1,527.5876639661407,-100.5103682372264
81,36.0820994,140.0821962,18.45150966582828,-96.11284961526268,-1.1070549008760755,0,0,0.735125707822635,0.6768396984752522,0,0,0,0,1,-1,523.6382235370112,-100.710743320623
82,36.0821076,140.0821501,18.374374863731827,-92.07412558823455,-1.0430607235503169,0,0,0.7377869051393328,0.6742019052613872,0,0,0,0,1,-1,519.4908612656137,-99.79792349573349
