label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2078,36.0812108,140.0802668,350.060766533373,-199.629242839095,-0.750650061282062,0,0,0.982267681933255,0.186948200968863,2,2,0,0,1,-1,350.060766533373,-199.629242839095
2079,36.0812468,140.0802597,349.422018764344,-195.621741171164,-0.738102985127913,0,0,0.944772705728446,0.327494831538731,2,2,0,0,1,-1,349.422018764344,-195.621741171164
2080,36.0812844,140.080261,349.538972581857,-191.436128316672,-0.72139097174018,0,0,0.936312452112912,0.350818678695895,2,2,0,0,1,-1,349.538972581857,-191.436128316672
2081,36.081321,140.0802674,350.114745217396,-187.361834954275,-0.704382128151615,0,0,0.929106344913253,0.369371118233945,2,2,0,0,1,-1,350.114745217396,-187.361834954275
2082,36.0813579,140.0802692,350.27668127202,-183.254145743459,-0.700454390999025,0,0,0.940489556865729,0.339366046844775,2,2,0,0,1,-1,350.27668127202,-183.254145743459
2083,36.0813961,140.0802744,350.744496539514,-179.001741195293,-0.659286152796681,0,0,0.944053179455408,0.329220931741057,2,2,0,0,1,-1,350.744496539514,-179.001741195293
2084,36.0814316,140.0802754,350.834461013737,-175.049899272618,-0.609752768414446,0,0,0.936342996509684,0.350408926681717,2,2,0,0,1,-1,350.834461013737,-175.049899272618
2085,36.0814671,140.080281,351.338262068874,-171.098057349151,-0.541733521832892,0,0,0.916933788934226,0.398370551019004,2,2,0,0,1,-1,351.338262068874,-171.098057349151
2086,36.0815026,140.0802832,351.536183913699,-167.146215425685,-0.482061368199136,0,0,0.944735934746025,0.327385933503207,2,2,0,0,1,-1,351.536183913699,-167.146215425685
2087,36.0815379,140.0802847,351.671130625033,-163.216637400637,-0.405295298767036,0,0,0.934013600421288,0.356629983167429,2,2,0,0,1,-1,351.671130625033,-163.216637400637
2088,36.0815732,140.0802864,351.824070232747,-159.28705937559,-0.363746613075196,0,0,0.964895577068883,0.261498368249112,2,2,0,0,1,-1,351.824070232747,-159.28705937559
2089,36.0816122,140.0802852,351.716112862145,-154.945599235331,-0.290498935973358,0,0,0.915695463788729,0.401030182158027,2,2,0,0,1,-1,351.716112862145,-154.945599235331
2090,36.081648,140.080288,351.968013390992,-150.960361464236,-0.186672818350046,0,0,0.99944833780293,0.020758067543971,2,2,0,0,1,-1,351.968013390992,-150.960361464236
2091,36.0816496,140.0802867,351.851059573479,-150.782250279258,-0.192627584730312,0,0,0.999639664670815,-0.010189133687148,2,2,0,0,1,-1,351.851059573479,-150.782250279258
2092,36.0816617,140.0802706,350.402631536443,-149.435284440738,-0.152044544935821,0,0,0.99956852971412,0.000436641186192,2,2,0,0,1,-1,350.402631536443,-149.435284440738
2093,36.0816725,140.0802615,349.583954818968,-148.233033940359,-0.120191257444466,0,0,0.9997492974687,-0.000389626196981,2,2,0,0,1,-1,349.583954818968,-148.233033940359
2094,36.0816895,140.0802396,347.613732827859,-146.340602596905,-0.107742428337311,0,0,0.999810488394259,0.008978577076728,2,2,0,0,1,-1,347.613732827859,-146.340602596905
2095,36.0817227,140.080219,345.760464654262,-142.644795502092,-0.085042293336014,0,0,0.99512807921139,0.096678562195357,2,2,0,0,1,-1,345.760464654262,-142.644795502092
